address,checkins,city,country,created,distance,group_id,group_photo,icon,latitude,longitude,pid,place_id,title,type,updated,description,geocoded,kind,lat,lng,precision,request,response_status,dist,xcoord,ycoord
средний пр. 34 В.О.,18,,,1492932857,272,,,https://vk.com/images/places/place.png,59.942542,30.276888,18004652,18004652,токио city - средний пр. ВО,21,1515243504,"Санкт-Петербург, Россия","Санкт-Петербург, Средний проспект Васильевского острова, 34",house,30.27698,59.942444,exact,"Санкт-Петербург, средний пр. 34 В.О.",OK,0.000134417260801549,347881.04472765,6648130.89592443
8-я линия 47,11,,,1373558772,272,,,https://vk.com/images/places/place.png,59.942954,30.276204,5950763,5950763,KFC,21,1497197304,"Санкт-Петербург, Россия","Санкт-Петербург, 8-я линия Васильевского острова, 47",house,30.276028,59.942741,exact,"Санкт-Петербург, 8-я линия 47",OK,0.000276305989794977,347829.243413726,6648166.14207405
Sredniy prospekt 31,54,,,1405707647,369,,,https://vk.com/images/places/place.png,59.94286,30.278556,9068689,9068689,Станция метро «Василеостровская» ?,21,1516475030,"Санкт-Петербург, Россия","Санкт-Петербург, Средний проспект Васильевского острова, 31",house,30.277842,59.943147,exact,"Санкт-Петербург, Sredniy prospekt 31",OK,0.000769522579261931,347932.401548196,6648207.16145426
8-я линия 46,10,,,1399212818,297,,,https://vk.com/images/places/place.png,59.943734,30.274471,8446469,8446469,Дамаск,21,1508166760,"Санкт-Петербург, Россия","Санкт-Петербург, 9-я линия Васильевского острова, 46",house,30.274294,59.943467,exact,"Санкт-Петербург, 8-я линия 46",OK,0.000320340443896334,347735.742190046,6648250.93752837
6-я линия В.О.,17,2,1,1280742123,320,,,https://vk.com/images/places/restaraunt.png,59.943115,30.278565,6210,6210,Black & White,3,1472021947,"Санкт-Петербург, Россия","Санкт-Петербург, 6-я линия Васильевского острова",street,30.278831,59.943061,street,"Санкт-Петербург, 6-я линия В.О. ",not exact precison,0.000271425864644291,347987.235451217,6648195.31693475
7-я линия 68,11,,,1428771091,164,,,https://vk.com/images/places/place.png,59.946032,30.274788,11542148,11542148,7 линия Храм Благовещения,21,1511699820,"Санкт-Петербург, Россия","Санкт-Петербург, 7-я линия Васильевского острова, 68",house,30.274375,59.945882,exact,"Санкт-Петербург, 7-я линия 68",OK,0.000439396176591192,347751.341458499,6648519.55025992
7-я линия В.О. 72/17,68,,,1390337234,236,,,https://vk.com/images/places/place.png,59.947028,30.27355,7507591,7507591,PUB Wild Duck,21,1515411573,"Санкт-Петербург, Россия","Санкт-Петербург, 7-я линия Васильевского острова, 72",house,30.273665,59.947014,number,"Санкт-Петербург, 7-я линия В.О. 72/17",not exact precison,0.000115849039703527,347716.890255215,6648647.18017479
5-я линия В.О. 54,43,2,1,1280742123,328,,,https://vk.com/images/places/restaraunt.png,59.945508,30.278597,9668,9668,Shannon pab,3,1502824070,"Санкт-Петербург, Россия","Санкт-Петербург, 5-я линия Васильевского острова, 54",house,30.278372,59.945797,exact,"Санкт-Петербург, 5-я линия В.О. 54",OK,0.000366259470871453,347974.133842656,6648500.89963392
"Малый проспект В.О., дом 11",40,,,1400159460,237,,,https://vk.com/images/places/place.png,59.947757,30.276626,8538408,8538408,Нака чай и хомутов,21,1477749487,"Санкт-Петербург, Россия","Санкт-Петербург, Малый проспект Васильевского острова, 11",house,30.276917,59.947973,exact,"Санкт-Петербург, Малый проспект В.О., дом 11",OK,0.000362404470165641,347902.861220551,6648746.44114571
"наб. Смоленки, 2",160,2,1,1462446287,330,74572668,https://pp.userapi.com/c633524/v633524716/26ea1/ngdEBTgHgFs.jpg,https://vk.com/images/places/place.png,59.949542,30.275147,9096546,9096546,"Конгресс-холл ""Васильевский""",21,1516034494,"Санкт-Петербург, Россия","Санкт-Петербург, набережная реки Смоленки, 2",house,30.275147,59.949542,exact,"Санкт-Петербург, наб. Смоленки, 2",OK,3.5527136788005e-15,347811.229757191,6648925.14709671
Макарова набережная 32,19,,,1392522308,301,,,https://vk.com/images/places/place.png,59.949531,30.277959,7747177,7747177,Набережная макарова 32,21,1506948278,"Санкт-Петербург, Россия","Санкт-Петербург, набережная Макарова, 32",house,30.277546,59.949132,exact,"Санкт-Петербург, Макарова набережная 32",OK,0.000574256040473189,347943.290321432,6648873.99702795
2-я линия В.О. 61К30,13,2,1,1280742123,357,,,https://vk.com/images/places/restaraunt.png,59.948816,30.279235,9831,9831,Pierrot,3,1469961799,"Санкт-Петербург, Россия","Санкт-Петербург, 2-я линия Васильевского острова, 61/30",house,30.279405,59.948717,exact,"Санкт-Петербург, 2-я линия В.О. 61К30",OK,0.000196725697355424,348045.181849869,6648823.53518329
"Петровский проспект, д.16, ""Жемчужина""",16,2,1,1380264498,240,44055651,https://pp.userapi.com/c307104/g44055651/e_6e96878d.jpg,https://vk.com/images/places/place.png,59.958264,30.271815,6538219,6538219,Принцесса спорта,21,1511695069,"Санкт-Петербург, Россия","Санкт-Петербург, Петровский проспект, 16",house,30.271994,59.958557,exact,"Санкт-Петербург, Петровский проспект, д.16, ""Жемчужина""",OK,0.000343351132215751,347676.580769169,6649935.808807
"Петровский проспект, д.16, Стадион ""Балтика""",12,2,1,1456860077,252,116090384,https://pp.userapi.com/c629119/v629119169/37d0e/FPCPh_5B5HA.jpg,https://vk.com/images/places/place.png,59.958372,30.271815,14308635,14308635,"ФК ""Локомотив"" С-Пб",21,1511767012,"Санкт-Петербург, Россия","Санкт-Петербург, Петровский проспект, 16",house,30.271994,59.958557,exact,"Санкт-Петербург, Петровский проспект, д.16, Стадион ""Балтика""",OK,0.00025742183278916,347676.580769169,6649935.808807
улица Ждановская 21,84,,,1375527508,458,,,https://vk.com/images/places/place.png,59.957371,30.280685,6114912,6114912,Стадион СКА,21,1509877243,"Санкт-Петербург, Россия","Санкт-Петербург, Ждановская улица, 21",house,30.280681,59.957971,exact,"Санкт-Петербург, улица Ждановская 21",OK,0.000600013333176665,348158.772188852,6649850.61634844
"ул. Ждановская, д.2, ст. м. ""Спортивная"", СКА",13,2,1,1355338736,398,46901899,https://pp.userapi.com/c417928/v417928660/1f87/nSFPgLAIaf8.jpg,https://vk.com/images/places/place.png,59.957453,30.279504,4237631,4237631,каток,21,1451139261,"Санкт-Петербург, Россия","Санкт-Петербург, Ждановская улица, 2",house,30.279316,59.957624,exact,"Санкт-Петербург, ул. Ждановская, д.2, ст. м. ""Спортивная"", СКА",OK,0.000254135790471709,348080.993146413,6649815.12715268
улица Красного Курсанта 34к1,26,,,1375130773,185,,,https://vk.com/images/places/place.png,59.961343,30.274511,6081960,6081960,Лазаревский мост,21,1516382550,"Санкт-Петербург, Россия","Санкт-Петербург, улица Красного Курсанта, 34к1",house,30.274752,59.961444,exact,"Санкт-Петербург, улица Красного Курсанта 34к1",OK,0.000261308247092478,347843.762118527,6650250.79755435
"197110, Санкт-Петербург, ул. Новоладожская, 4, кор.1",37,2,1,1357908492,246,48126463,https://pp.userapi.com/c830208/v830208673/4a164/EQODchU3-JQ.jpg,https://vk.com/images/places/work.png,59.962106,30.272291,4436538,4436538,GS Group,2,1515748246,"Санкт-Петербург, Россия","Санкт-Петербург, Новоладожская улица, 4к1",house,30.272228,59.962066,exact,"Санкт-Петербург, 197110, Санкт-Петербург, ул. Новоладожская, 4, кор.1",OK,7.46257328317146e-05,347705.75056278,6650325.83613882
улица Вязовая 4,16,,,1371636856,406,,,https://vk.com/images/places/place.png,59.968877,30.279495,5791537,5791537,Летняя площадка гребной клуб,21,1449918486,"Санкт-Петербург, Россия","Санкт-Петербург, Вязовая улица, 4",house,30.280232,59.968871,exact,"Санкт-Петербург, улица Вязовая 4",OK,0.000737024422934115,348183.604033525,6651064.86590004
"Депутатская ул., 9",34,,,1448833023,270,,,https://vk.com/images/places/place.png,59.974673,30.276367,13499773,13499773,Krestovskiy ostrov,21,1516126169,"Санкт-Петербург, Россия","Санкт-Петербург, Депутатская улица, 9",house,30.276073,59.974959,exact,"Санкт-Петербург, Депутатская ул., 9",OK,0.000410160944020386,347979.449807923,6651752.03877533
